"Niveau 1";"Niveau 2";"Niveau 3";"Niveau 4";"Niveau 5";"Niveau 6";"Niveau 7";"Priorité";"Progression";"Date de début";"Échéance";"Durée (jours)";Effort (jours);"Jalon";"Ressources";
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Juridiction du président";"ordonnances sur requête";;;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Juridiction du président";"recueil des consentements";;;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Indemnisation des victimes (CIVI)";;;;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Autres";"Baux ruraux (TPBR)";;;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Autres";"Expropriation";;;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Autres";"Loyers commerciaux";"30Z";;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Autres";"Loyers commerciaux";"30B";;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Autres";"Loyers commerciaux";"30C";;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Autres";"Loyers commerciaux";"30F";;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Autres";"Loyers commerciaux";"30G";;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Autres";"Loyers commerciaux";"30E";;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Autres";"Loyers commerciaux";"30A";;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Autres";"Loyers commerciaux";"30D";;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Autres";"Loyers commerciaux";"30H";;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Autres";"Tribunal des pensions";;;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Autres";"Elections politiques";;;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"Civil Non Spécialisé";"Autres";"BAJ";;;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"JLD civil";"Rétention des étrangers";"14G";;;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"JLD civil";"Rétention des étrangers";"14H";;;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"JLD civil";"Hospitalisations sous contrainte";"14C";;;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"JLD civil";"Hospitalisations sous contrainte";"14I";;;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"JLD civil";"Hospitalisations sous contrainte";"14J";;;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"JLD civil";"Hospitalisations sous contrainte";"14K";;;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"JLD civil";"Hospitalisations sous contrainte";"14L";;;;;;;;;;;
"Contentieux civils";"Siège Non Spécialisé";"JLD civil";"Saisines sur mesures de contention et de mise à l’isolement";;;;;;;;;;;;
"Contentieux civils";"Siège spécialisé";"Juges des Enfants";"Activité civile";"AE";;;;;;;;;;;
"Contentieux civils";"Siège spécialisé";"Juges des Enfants";"Activité civile";"MAGBF";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"Juges des Enfants";"Activité pénale";" mesures pré-sententielles";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"Juges des Enfants";"Activité pénale";"phase de jugement";"tribunal pour enfants";;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"Juges des Enfants";"Activité pénale";"phase de jugement";"chambre du conseil";;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"Juges des Enfants";"Activité pénale";" mesures post-sententielles";"en milieu ouvert";;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"Juges des Enfants";"Activité pénale";" mesures post-sententielles";"en milieu fermé";;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"Juges d'Instruction";"Service général";;;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"Juges d'Instruction";"JIRS éco-fi";;;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"Juges d'Instruction";"JIRS crim-org";;;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"Juges d'Instruction";"sections spécialisées";;;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Milieu ouvert";"SME";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Milieu ouvert";"STIG et TIG";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Milieu ouvert";"Jours-amendes";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Milieu ouvert";"Placements extérieurs";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Milieu ouvert";"Semi-libertés";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Milieu ouvert";"Article 723-15 du CPP";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Milieu ouvert";"PSEM";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Milieu ouvert";"SSJ";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Milieu ouvert";"PSE";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Milieu ouvert";"Interdictions de séjour";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Milieu ouvert";"Surveillances judiciaires ou de sûreté";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Milieu ouvert";"Libérations conditionnelles";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Milieu ouvert";"Contraintes pénales";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Milieu fermé";"Libérations sous contrainte";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Milieu fermé";"Débats contradictoire, et hors débats contradictoire milieu fermé";;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JAP";"Ordonnances hors CAP";;;;;;;;;;;;
"Affaires pénales";"Siège spécialisé";"JLD pénal";;;;;;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"Tribunal correctionnel";"Audience collégiale";"JIRS";"Eco-fi";;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"Tribunal correctionnel";"Audience collégiale";"JIRS";"Crim-org";;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"Tribunal correctionnel";"Audience collégiale";"Hors JIRS";"Contentieux général";;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"Tribunal correctionnel";"Audience collégiale";"Hors JIRS";"Eco-fi";;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"Tribunal correctionnel";"Audience collégiale";"Hors JIRS";"Autres sections spécialisées";;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"Tribunal correctionnel";"Audience à juge unique";"Contentieux général";;;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"Tribunal correctionnel";"Audience à juge unique";"Contentieux routier";;;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"Tribunal correctionnel";"Audience de comparution immédiate";;;;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"Tribunal correctionnel";"Audience CPPV";;;;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"CRPC";;;;;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"OP correctionnelle";;;;;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"Composition pénale";;;;;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"Cour d'assises";;;;;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"Tribunal de police";"4ème classe";;;;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"Tribunal de police";"5ème classe";;;;;;;;;;;
"Affaires pénales";"Siège Non Spécialisé";"Siège Pénal";"OP contraventionnelles";;;;;;;;;;;;
"Hors-juridictionnel";"Tous les magistrats";"Soutien";"Soutien DGG";;;;;;;;;;;;
"Hors-juridictionnel";"Tous les magistrats";"Soutien";"Autres formations";;;;;;;;;;;;
"Hors-juridictionnel";"Tous les magistrats";"Soutien";"Accès au droit";;;;;;;;;;;;
"Hors-juridictionnel";"Tous les magistrats";"Soutien";"CSM";;;;;;;;;;;;
"Hors-juridictionnel";"Tous les magistrats";"Indisponibilité";"Décharge syndicale";;;;;;;;;;;;
"Hors-juridictionnel";"Tous les magistrats";"Indisponibilité";"CET";;;;;;;;;;;;
"Hors-juridictionnel";"Tous les magistrats";"Indisponibilité";"CLM";;;;;;;;;;;;
"Hors-juridictionnel";"Tous les magistrats";"Indisponibilité";"TPT";;;;;;;;;;;;
"Hors-juridictionnel";"Tous les magistrats";"Indisponibilité";"MàD";;;;;;;;;;;;
"Hors-juridictionnel";"Tous les magistrats";"Indisponibilité";"Autres";;;;;;;;;;;;
